Entity,Code,Year,Share of agriculture in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of services in GDP at current prices (Herrendorf et al. data)
United States,USA,1972,2.7,28.1,69.2
United States,USA,1973,3.7,28.2,68.1
United States,USA,1974,3.2,28,68.7
United States,USA,1975,3,27.3,69.9
United States,USA,1976,2.7,27.9,69.3
United States,USA,1977,2.5,28.5,69.1
United States,USA,1978,2.5,28.4,69.1
United States,USA,1979,2.7,28.7,68.6
United States,USA,1980,2.2,28.3,69.5
United States,USA,1981,2.4,28.3,69.3
United States,USA,1982,2.1,26.7,71.3
United States,USA,1983,1.6,25.8,72.6
United States,USA,1984,1.9,26,72
United States,USA,1985,1.8,25.1,73.1
United States,USA,1986,1.6,23.9,74.5
United States,USA,1987,1.6,23.9,74.5
United States,USA,1988,1.5,24,74.5
United States,USA,1989,1.6,23.7,74.9
United States,USA,1990,1.6,22.9,75.4
United States,USA,1991,1.4,21.9,76.7
United States,USA,1992,1.5,21.3,77.1
United States,USA,1993,1.3,21.2,77.6
United States,USA,1994,1.4,21.2,77.4
United States,USA,1995,1.2,21.4,77.5
United States,USA,1996,1.4,21.2,77.4
United States,USA,1997,1.3,21.2,77.6
United States,USA,1998,1.1,20.9,78
United States,USA,1999,1,20.7,78.4
United States,USA,2000,1,20.7,78.5
United States,USA,2001,0.9,19.7,79.3
United States,USA,2002,0.9,18.9,80.2
United States,USA,2003,1,19.1,79.9
United States,USA,2004,1.2,19.4,79.5
United States,USA,2005,1,19.7,79.4
United States,USA,2006,0.9,20,79.1
United States,USA,2007,1,19.9,79.2
United States,USA,2008,1,19.4,79.5
United States,USA,2009,1,18,80.9
United States,USA,2010,1.1,18,80.8
United States,USA,2011,1.3,18.4,80.4
United States,USA,2012,1.2,18.4,80.5
United States,USA,2013,1.3,18.6,80
United States,USA,2014,1.2,18.8,80.2
United States,USA,2015,1,17.9,81.2
United States,USA,2016,0.9,17.3,81.9
